X,Date,Project.Title,Agency,EIS.production.cost.included.on.front.cover...report...amount.or.state..no..,EJ.Community.present.,Low.Income.Community.Present.,Minority.Community.Present.,Are.there.disproportionate.impacts.,If.there.are.impacts..what.are.they.doing.to.mitigate.,Action.Type.,Decision.Type.,Notes,X.1,Total.Time.for.all.20..just.for.the.1st.20.don.t.record.how.long.the.1st.5.take.you.,Total.Time,X3.hours,X3hrs,X2.hours,X1.hr.30.min
5th 20,3/7/2014,Kaibab National Forest Plan Revision,Forest Service,no,Yes,Yes,Yes,Yes,nothing,Land Management Plan,Plan,Disproportionate Impact is EJ communities being more effected by smoke from perscribed burns.,NA,NA,NA,NA,NA,NA,NA
,10/20/2017,Kansas River Commercial Dredging Final Environmental Impact Statement,U.S. Army Corps of Engineers,no,No,No,No,No,n/a,Water Works,Project,,NA,NA,NA,NA,NA,NA,NA
,6/22/2018,KC-46A Main Operating Base #4 (MOB 4) Beddown,United States Air Force,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Military Ops.,Plan,"There is only one small section of a table saying no disproportionate impacts to any EJ communities, and no mitigation is necessary.",NA,NA,NA,NA,NA,NA,NA
,3/19/2021,LaGuardia Access Improvement Program,Federal Aviation Administration,no,Yes,No,Yes,Yes,"Emission control devices, contractor must use construction equipment with engines that meet Tier 440 emission standards, require that a consultant, independent of the DBOM contractor and paid for by the Port Authority, monitor particulate matter within and at the perimeter of the active construction areas, and verify adherence to construction equipment requirements for the duration of construction.",Transport.,Program,Impacts include decreased air quality.,NA,NA,NA,NA,NA,NA,NA
,9/30/2016,Lambert Houses Redevelopment,Department of Housing and Urban Development,no,Yes,Yes,Yes,No,n/a,Gov. Facilities,Project,,NA,NA,NA,NA,NA,NA,NA
,7/28/2017,Land Acquisition and Airspace Establishment to Support Large-Scale Marine Air Ground Task Force Live-Fire and Maneuver Training at Marine Corps Air Ground Combat Center,Federal Aviation Administration,no,No,No,No,No,n/a,Gov. Facilities,Plan,Corrected,NA,NA,NA,NA,NA,NA,NA
,10/9/2020,Lee Canyon EIS,Forest Service,no,No,No,No,No,n/a,Recreation,Plan,Corrected,NA,NA,NA,NA,NA,NA,NA
,10/12/2018,"Little Colorado River at Winslow, Navajo County, Arizona, Flood Risk Management Project, Integrated Feasibility Report and Environmental Impact Statement",U.S. Army Corps of Engineers,no,No,Indeterminate,No,No,n/a,Water Works,Project,No threshold for low-income community,NA,NA,NA,NA,NA,NA,NA
,8/21/2018,Lobert Restoration Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,"Says ""data on low income and minority communities is unavailbale""",NA,NA,NA,NA,NA,NA,NA
,3/29/2019,Lolo Insect & Disease Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conserv/Restr,Project,Says no disproportionate impacts but no information about the EJ groups.,NA,NA,NA,NA,NA,NA,NA
