,Date,Project Title,Agency,"EIS production cost included on front cover? (report $ amount or state ""no"")",EJ Community present?,Low-Income Community Present?,Minority Community Present?,Are there disproportionate impacts?,"If there are impacts, what are they doing to mitigate?",Action Type?,Decision Type?,Notes,,Total Time ,3hrs
4th 20,1/17/2014,Fowler Ridge Wind Farm Final EIS,Fish and Wildlife Service,no,Yes,Yes,Yes,No,n/a,Conservation/Restoration,Plan,,,,
,11/14/2014,Generic - License Renewal of Nuclear Plants Supplement 51 Regarding Callaway Plant Unit 1,Nuclear Regulatory Commission,no,Yes,Indeterminate,No,No,n/a,Energy Gen/Trans,Project,"They metion low income communities, but they don't have a threshold.",,,
,8/14/2015,Goose Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Bio Resource Use,Project,"They say there will be no disproportionate impacts to either low-income or minority communities but they don't go into detail, saying no impacts is the only mention.",,,
,5/9/2014,Grand Parkway Segments H and I-1,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,,,
,5/16/2016,Greater Sage Grouse Bi-State Distinct Population Segment Forest Plan Amendment,Forest Service,no,No,No,No,No,n/a,Conservation/Restoration,Plan,"No numbers or thresholds, says ""For the purpose of screening for environmental justic concerns, minority and low-income populations are not a concern""",,,
,8/2/2019,"Gulf Intracoastal Waterway, Brazos River Floodgates and Colorado River Locks, Texas",U.S. Army Corps of Engineers,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Water Works,Project,Says no impacts but doesn't specify any information about EJ communities.,,,
,4/26/2019,Gulf LNG Liquefaction Project,Federal Energy Regulatory Commission,no,Yes,Yes,Yes,No,n/a,Energy Gen/Trans,Project,,,,
,6/5/2015,Gulf Regional Airspace Strategic Initiative Landscape Initiative,United States Air Force,no,Indeterminate,Indeterminate,No,No,n/a,Military Ops.,Project,"Minority population less than 40%, they don't define the low income population threshold.",,,
,3/11/2016,Hawaii Volcanoes National Park Management Plan,National Park Service,no,No Mention,No Mention,No Mention,No Mention of EJ,n/a,Land Management Plan,Plan,"Says ""The devastating effects of the park’s air tours
and aviation operations are centered over
the socially and economically disadvantaged
population of the District of Puna and the
Keaukaha Hawaiian Homesteads. Yet the
topic of Environmental Justice was dismissed
from this analysis. This is another violation of
NEPA requirements.”",,,
,3/6/2015,Heavenly Epic Discovery Project,Forest Service,no,No Mention,No Mention,No Mention,No mention of EJ,n/a,Recreation,Project,,,,
,12/16/2016,Heeia National Estuarine Research Reserve,National Oceanic and Atmospheric Administration,no,Yes,No,Yes,No,n/a,Conservation/Restoration,Program,,,,
,3/6/2020,Huckleberry Landscape Restoration Project,Forest Service,no,Indeterminate,Indeterminate,No,Indeterminate,n/a,Conserv/Restr,Project,"Mentions low income groups but doesn't have a threshold, says people below the poverty line are more susceptible for disproportionate effects, but doesn't say if they do face them or not.",,,
,9/18/2020,Hungry Ridge Restoration Project,Forest Service,no,Indeterminate,Indeterminate,Indeterminate,No,n/a,Conservation/Restoration,Project,Says no impacts but doesn't give any details about any EJ community.,,,
,9/6/2019,Hycroft Mine Phase II Expansion Project,Bureau of Land Management,"$208,715",No Mention,No Mention,No Mention,No Mention of EJ,n/a,Mineral Rsrc Extract,Project,,,,
,3/27/2020,I-15 Milepost 11 Interchange,Utah Department of Transportation,no,No,No,No,No,n/a,Transport.,Project,,,,
,1/15/2016,I-70 East,Federal Highway Administration,no,Yes,Yes,Yes,Yes,CDOT will provide funding to the Community Resource Housing Develpment Corporation to assist in residential and buisness displacement. CDOT will provide 2 portable or window-mointed air contditioning units to residents close to the highway and assist in potential high utility costs. CDOT will provide contributions to existsing programs to facilitate access to fresh food. ,Transport.,Project,"Says when mitigation efforts are put into effect, there should be no disproportionate impacts. ",,,
,8/4/2017,I-80 and State Street Interchange,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,,,
,12/13/2013,Interstate 64 Peninsula from Interstate 95 in the City of Richmond to Interstate 664,Federal Highway Administration,no,Yes,Yes,Yes,No,n/a,Transport.,Project,,,,
,10/24/2014,Interstate 87 (I-87) Exit 4 Access Improvements,Federal Highway Administration,no,No,No,No,No,n/a,Transport.,Project,,,,
,10/9/2015,Jordan Cove Energy and Pacific Connector Gas Pipeline Project,Federal Energy Regulatory Commission,no,Yes,Yes,No,No,n/a,Mineral Resource Extract,Project,,,,
